-1		ewoce_eep_110W			-2		ewoce_wep_179E			-3		ewoce_wep_165E_calcd			-4		glob-alk-tco2_eep_calcd			-5		glob-alk-tco2_wep_calcd			-6		glodapv2_eep_86W_calcd			-7		glodapv2_eep_95W_calcd			-8		glodapv2_wep_1_calcd		49HG19950414	-9		glodapv2_wep_2_calcd		49NZ1998129	-10		glodapv2_wep_3_calcd		49NZ20020107	-11		glodapv2_wep_4_calcd		49NZ20021217	-12		glodapv2_wep_5_calcd		49NZ20041117	-13		glodapv2_wep_6_calcd		49NZ20070216	-14		glodapv2_wep_7_calcd		49UP20070606	-15		glodapv2_wep_8_calcd		49UF20090610	-16		glodapv2_wep_9_calcd		49UF20100108	-17		glodapv2_wep_10_calcd		49UP20090117	-18		glodapv2_wep_11_calcd		49UF20180129	-19		pacifica_eep_110W			-20		pacifica_wep_1			-21		pacifica_wep_2			-22		pacifica_wep_3			-23		pacifica_wep_4		
Approx_Depth	Avg_pH	Station	Depth 	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH
		154	24.165	8.0100002			134	96.742	8			74	6.961	8.08			19678	20	7.92			20354	20	7.89			355	21.578	8			74	80.042	7.87			105	11	8.074			6	99	8.001			9	89	8.01								31	10	8.057			5	9	8.075			2989	52	8.014116			2457	20	8.068			2586	21	8.084			3319	21	8			5300	52	8.028			35	67	7.9699998			7	10	8.1040001			2080	0	8.0649996			2204	0	8.0760002			31	10	8.0480003
		154	48.227	7.75			137	1.89	8.1199999			75	7.956	8.07			19678	30	7.91			20354	30	7.89			355	42.16	7.9			74	99.227	7.9			105	24	8.069			7	0	8.034			9	100	7.98								31	50	8.06			5	49	8.057			2989	77	7.996348			2457	31	8.062			2586	31	8.087			3319	30	8.001			5300	76	8.029			35	86	7.9029999			7	21	8.1009998			2080	10	8.0679998			2204	12	8.0769997			31	50	8.0509996
		154	73.182	7.6999998			137	40.87	8.1199999			75	22.872	8.07			19678	50	7.84			20354	50	7.9			355	62.343	7.71			98	2.287	8.04			105	40	8.057			7	10	8.036			10	0	8.064								31	100	7.998			5	99	7.961								2457	40	8.062			2586	41	8.087			3319	50	8			5300	101	8.027			36	5	8.0760002			7	31	8.0979996			2080	19	8.0620003			2204	22	8.0760002			31	100	7.9889998
		153	9.05	8.0100002			137	60.357	8.1000004			75	46.736	8.07			19678	75	7.74			20354	75	7.9			355	96.538	7.72			98	8.85	8.05			105	50	8.051			7	21	8.032			10	20	8.063								32	10	8.07			6	10	8.086								2457	50	8.044			2586	52	8.089			3319	60	7.998								36	10	8.0450001			7	41	8.092			2080	30	8.0559998			2204	32	8.0749998			32	10	8.0620003
		153	25.06	8.0200005			137	90.48	8.0600004			75	70.598	8.09			19678	100	7.7			20354	100	7.9			356	1.691	8.03			98	19.391	8.05			105	75	8.042			7	31	8.03			10	30	8.063								32	50	8.06			6	50	8.068								2457	61	8.041			2586	61	8.088			3319	82	7.997								36	20	8.0459995			7	50	8.0819998			2080	40	8.0500002			2204	43	8.0740004			32	50	8.0509996
		153	49.918	7.8200002			140	1.79	8.1199999			75	96.444	8.02			19679	0	7.98			20355	0	7.85			357	1.094	8.04			98	29.831	8.04			105	81	8.039			7	41	8.025			10	40	8.062								32	100	7.994			6	100	7.955								2457	80	7.99			2586	82	8.086			3319	101	7.992								36	42	8.0810003			7	58	8.0760002			2080	50	8.0480003			2204	53	8.0699997			32	100	7.9850001
		153	72.884	7.71			140	43.356	8.1300001			76	7.956	8.08			19679	10	7.97			20355	10	7.87			358	1.691	8.03			98	38.979	8.03			105	100	8.001			7	50	8.019			11	0	8.045								33	10	8.072			7	10	8.077								2457	101	7.971			2586	100	8.014													36	68	7.96			7	70	8.0679998			2080	59	8.0469999			2204	62	8.0609999			33	10	8.0629997
		152	7.956	8.0100002			140	73.779	8.1099997			77	5.967	8.07			19679	20	7.95			20355	20	7.88			359	1.89	8.03			98	47.728	8.03			107	0	8.067			7	58	8.015			11	40	8.06								33	50	8.068			7	50	8.07													2589	12	8.073													36	91	7.829			7	80	8.0609999			2080	80	8.0699997			2204	84	8.0270004			33	50	8.0600004
		152	49.619	7.8200002			140	103.403	7.9299998			78	5.967	8.06			19679	30	7.93			20355	30	7.88			359	27.943	8.04			98	63.535	7.98			107	10	8.073			7	70	8.009			11	50	8.06								33	100	7.984			7	99	8.024													2589	24	8.086													37	5	8.0459995			7	99	8.0419998			2080	100	8.0450001			2204	103	8.0270004			33	100	7.9749999
		152	74.474	7.6300001			144	1.691	8.1300001			78	20.884	8.06			19679	50	7.84			20355	50	7.89			359	38.383	7.98			98	78.149	7.84			107	25	8.075			7	80	8.004			11	60	8.059																												2589	51	8.07													37	24	8.0480003																				
		152	100.42	7.6900001			144	1.79	8.1300001			78	45.742	8.07			19679	75	7.74			20355	75	7.89			359	53.198	7.91			98	93.258	7.76			107	40	8.076			7	99	7.993			11	70	8.059																												2589	75	8.068													37	51	8.0220003																				
		151	9.945	8.0100002			144	67.019	8.1199999			78	68.609	8.02			19679	100	7.7			20355	100	7.9			359	88.689	7.79			99	2.387	8.05			107	50	8.075								11	80	8.057																												2589	101	7.964													37	74	7.8579998																				
		151	24.264	7.9899998			147	2.685	8.1199999			78	94.456	7.96			19680	0	8.01			20356	0	7.85			359	108.17	7.8			99	10.044	8.03			107	75	8.064								11	90	8.055																																											37	99	7.6999998																				
		151	48.128	7.8000002			147	36.893	8.1199999			79	6.961	8.07			19680	10	8			20356	10	7.86			360	2.188	8.03			99	19.391	8.04			107	100	8.060023																																																					38	5	8.0550003																				
		151	73.679	7.6799998			147	66.82	8.1099997			80	6.961	8.07			19680	20	7.98			20356	20	7.88			361	1.89	8.02			99	29.434	8.04																																																										38	13	8.0509996																				
		151	98.233	7.6599998			147	97.339	8.0299997			81	5.967	8.07			19680	30	7.95			20356	30	7.88			361	11.436	8.03			99	39.477	8.04																																																										38	28	8.0439997																				
		150	8.354	8			151	2.088	8.1099997			81	21.878	8.07			19680	50	7.85			20356	50	7.88			361	24.96	8.03			99	49.22	8.02																																																										38	47	7.9949999																				
		150	22.574	7.9699998			151	2.188	8.1099997			81	45.742	8.07			19680	75	7.73			20356	75	7.89			361	40.671	7.93			99	63.139	7.98																																																										38	66	7.9000001																				
		150	50.415	7.9099998			151	39.677	8.1199999			81	70.598	8.01			19680	100	7.69			20356	100	7.91			361	60.357	7.88			99	79.542	7.84																																																										38	86	7.7620001																				
		150	73.083	7.7199998			151	69.007	8.1199999			81	95.45	7.97			19935	0	7.86			20628	0	7.87			361	85.608	7.86			99	93.657	7.81																																																										38	106	7.631																				
		150	96.444	7.6900001			151	98.531	8.0600004			82	6.961	8.07			19935	10	7.86			20628	10	7.89			362	0.994	8.01			100	3.381	8.04																																																										39	6	8.0530005																				
		149	24.463	7.98			154	3.381	8.1199999			83	20.883	8.07			19935	20	7.85			20628	20	7.89			363	0.895	8.01			100	9.348	8.04																																																										39	9	8.0609999																				
		149	49.421	7.8000002			154	31.026	8.1199999			83	95.449	8.01			19935	30	7.84			20628	30	7.89			364	1.492	8.03			100	18.099	8.04																																																										39	17	8.0579996																				
		149	74.375	7.71			154	60.655	8.1099997			84	6.961	8.07			19935	50	7.8			20628	50	7.9			365	2.188	8.01			100	28.241	8.03																																																										39	52	7.9549999																				
		149	100.818	7.6599998			154	90.976	8.1000004			85	6.961	8.07			19935	75	7.74			20628	75	7.9			366	1.492	8.03			100	39.775	7.95																																																										39	73	7.7290001																				
		148	7.558	7.98			160	2.188	8.1199999			87	21.877	8.07			19935	100	7.73			20628	100	7.9			367	1.79	8.01			100	49.32	7.87																																																										39	93	7.6370001																				
