-1		ewoce_eep_110W			-2		ewoce_wep_179E			-3		ewoce_wep_165E_calcd			-4		glob-alk-tco2_eep_calcd			-5		glob-alk-tco2_wep_calcd			-6		glodapv2_eep_86W_calcd			-7		glodapv2_eep_95W_calcd			-8		glodapv2_wep_1_calcd		49HG19950414	-9		glodapv2_wep_2_calcd		49NZ1998129	-10		glodapv2_wep_3_calcd		49NZ20020107	-11		glodapv2_wep_4_calcd		49NZ20021217	-12		glodapv2_wep_5_calcd		49NZ20041117	-13		glodapv2_wep_6_calcd		49NZ20070216	-14		glodapv2_wep_7_calcd		49UP20070606	-15		glodapv2_wep_8_calcd		49UF20090610	-16		glodapv2_wep_9_calcd		49UF20100108	-17		glodapv2_wep_10_calcd		49UP20090117	-18		glodapv2_wep_11_calcd		49UF20180129	-19		pacifica_eep_110W			-20		pacifica_wep_1			-21		pacifica_wep_2			-22		pacifica_wep_3			-23		pacifica_wep_4		
Approx_Depth	Avg_pH	Station	Depth 	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH
		135	23.568	8.0200005													20465	20	7.79			21188	20	7.87								107	38.284	8.1																																																										49	19	7.8979998																				
		135	47.034	7.7199998													20465	30	7.78			21188	30	7.87								107	47.83	8.1																																																										49	52	7.882																				
		135	74.175	7.6599998													20465	50	7.78			21188	50	7.88								107	64.93	7.87																																																										49	69	7.7199998																				
		135	99.822	7.6300001													20465	75	7.75			21188	75	7.89								107	79.146	7.93																																																										49	100	7.6069999																				
		134	9.646	8.0500002													20465	100	7.74			21188	100	7.9								107	93.163	7.92																																																										50	6	7.895																				
		134	25.457	8.04													20466	0	7.82			21189	0	7.84																																																																				50	16	7.914																				
		134	48.326	7.77													20466	10	7.82			21189	10	7.86																																																																				50	34	7.881																				
		134	75.268	7.6700001													20466	20	7.81			21189	20	7.86																																																																				50	58	7.698																				
																	20466	30	7.79			21189	30	7.87																																																																				50	83	7.6059999																				
																	20466	50	7.79			21189	50	7.87																																																																				50	106	7.5809999																				
																	20466	75	7.75			21189	75	7.88																																																																				51	22	7.8930001																				
																	20466	100	7.74			21189	100	7.9																																																																				51	51	7.8839998																				
																	20467	0	7.84			21190	0	7.84																																																																				51	75	7.6989999																				
																	20467	10	7.84			21190	10	7.85																																																																				51	95	7.6079998																				
																	20467	20	7.82			21190	20	7.86																																																																				52	5	7.9089999																				
																	20467	30	7.8			21190	30	7.86																																																																				52	30	7.9060001																				
																	20467	50	7.79			21190	50	7.87																																																																				52	51	7.7490001																				
																	20467	75	7.75			21190	75	7.89																																																																				52	81	7.5949998																				
																	20467	100	7.73			21190	100	7.9																																																																				52	108	7.599																				
																																																																																												53	5	7.9390001																				
																																																																																												53	20	7.9419999																				
																																																																																												53	42	7.9289999																				
																																																																																												53	67	7.6869998																				
																																																																																												53	92	7.6059999																				
																																																																																												54	5	7.947																				
																																																																																												54	10	7.9520001																				
																																																																																												54	20	7.9390001																				
																																																																																												54	40	7.8990002																				
																																																																																												54	60	7.9029999																				
																																																																																												54	75	7.651																				
																																																																																												54	90	7.6030002																				
																																																																																												55	5	7.954																				
																																																																																												55	13	7.967																				
																																																																																												55	27	7.9400001																				
																																																																																												55	46	7.9310002																				
																																																																																												55	67	7.9330001																				
																																																																																												55	86	7.8509998																				
																																																																																												55	107	7.7119999																				
